到课率,习题正确率,预习率,成绩
1.000 ,0.430 ,0.851 ,81
1.000 ,0.471 ,0.930 ,92
0.930 ,0.227 ,0.851 ,70
1.000 ,0.430 ,0.912 ,86
0.870 ,0.337 ,0.684 ,84
1.000 ,0.390 ,1.000 ,84
1.000 ,0.105 ,0.482 ,64
1.000 ,0.349 ,0.877 ,78
0.930 ,0.372 ,0.772 ,82
1.000 ,0.244 ,0.886 ,74
1.000 ,0.512 ,0.895 ,90
1.000 ,0.395 ,0.667 ,79
0.930 ,0.326 ,0.860 ,75
1.000 ,0.419 ,0.868 ,86
1.000 ,0.430 ,0.904 ,84
1.000 ,0.413 ,1.000 ,78
0.930 ,0.488 ,0.877 ,92
0.930 ,0.442 ,0.851 ,89
0.930 ,0.331 ,0.842 ,87
1.000 ,0.395 ,1.000 ,80
1.000 ,0.419 ,0.947 ,91
1.000 ,0.459 ,1.000 ,80
1.000 ,0.529 ,1.000 ,89
1.000 ,0.483 ,0.930 ,91
1.000 ,0.459 ,0.982 ,90
1.000 ,0.436 ,0.965 ,81
1.000 ,0.314 ,0.965 ,79
1.000 ,0.390 ,0.728 ,92
0.930 ,0.442 ,0.746 ,90
1.000 ,0.413 ,0.982 ,75
1.000 ,0.430 ,0.930 ,86
0.770 ,0.359 ,0.779 ,59
1.000 ,0.667 ,0.809 ,84
1.000 ,0.436 ,0.632 ,82
1.000 ,0.410 ,0.868 ,66
1.000 ,0.308 ,0.603 ,74
1.000 ,0.359 ,0.809 ,63
1.000 ,0.692 ,0.956 ,88
0.920 ,0.436 ,0.456 ,87
1.000 ,0.667 ,0.985 ,77
1.000 ,0.564 ,0.529 ,78
0.920 ,0.462 ,0.529 ,70
1.000 ,0.538 ,0.338 ,79
1.000 ,0.590 ,0.507 ,80
1.000 ,0.846 ,0.853 ,81
1.000 ,0.410 ,0.522 ,69
0.920 ,0.564 ,0.640 ,73
0.850 ,0.590 ,0.941 ,71
0.920 ,0.359 ,0.618 ,73
1.000 ,0.590 ,0.676 ,73
1.000 ,0.538 ,0.794 ,75
0.920 ,0.282 ,0.574 ,65
1.000 ,0.769 ,0.581 ,78
1.000 ,0.795 ,0.838 ,84
1.000 ,0.513 ,0.897 ,79
0.920 ,0.179 ,0.301 ,63
0.920 ,0.538 ,0.831 ,74
0.920 ,0.462 ,0.713 ,75
1.000 ,0.538 ,0.662 ,67
1.000 ,0.667 ,0.566 ,71
0.920 ,0.359 ,0.706 ,78
1.000 ,0.538 ,0.669 ,68
1.000 ,0.513 ,1.000 ,77
1.000 ,0.513 ,0.676 ,73
1.000 ,0.513 ,0.544 ,74
1.000 ,0.462 ,0.831 ,68
1.000 ,0.615 ,0.559 ,77
